Authors,Citations,Journal,Title,Year
"S Cascianelli, G Costante, E Bellocchio, P Valigi, ML Fravolini, ...",25,"Robotics and Autonomous Systems 92, 53-65",Robust visual semi-semantic loop closure detection by a covisibility graph and CNN features,2017
"S Cascianelli, R Bello-Cerezo, F Bianconi, ML Fravolini, M Belal, ...",22,International conference on intelligent interactive multimedia systems and …,Dimensionality reduction strategies for cnn-based classification of histopathological images,2018
"D Astolfi, F Castellani, ML Fravolini, S Cascianelli, L Terzi",20,Journal of Energy Resources Technology 141 (5),Precision computation of wind turbine power upgrades: An aerodynamic and control optimization test case,2019
"S Cascianelli, G Costante, TA Ciarfuglia, P Valigi, ML Fravolini",18,-,Full-GRU Natural Language Video Description for Service Robotics Applications,2018
"ML Fravolini, M Rhudy, S Gururajan, S Cascianelli, M Napolitano",12,"SAE International Journal of Aerospace 7 (2014-01-2163), 109-116",Experimental evaluation of two pitot free analytical redundancy techniques for the estimation of the airspeed of an uav,2014
"S Cascianelli, M Scialpi, S Amici, N Forini, M Minestrini, M Luca Fravolini, ...",10,"Current Alzheimer Research 14 (2), 198-207",Role of artificial intelligence techniques (automatic classifiers) in molecular imaging modalities in neurodegenerative diseases,2017
"E Bellocchio, G Costante, S Cascianelli, P Valigi, TA Ciarfuglia",6,"2016 IEEE International Smart Cities Conference (ISC2), 1-6",SmartSEAL: A ROS based home automation framework for heterogeneous devices interconnection in smart buildings,2016
"R Bello-Cerezo, F Bianconi, S Cascianelli, ML Fravolini, F Di Maria, ...",5,International Conference on Intelligent Interactive Multimedia Systems and …,Hand-designed local image descriptors vs. off-the-shelf CNN-based features for texture classification: an experimental comparison,2018
"S Cascianelli, G Costante, E Bellocchio, P Valigi, ML Fravolini, ...",5,"2016 IEEE International Smart Cities Conference (ISC2), 1-6",A robust semi-semantic approach for visual localization in urban environment,2016
"E Bellocchio, G Costante, S Cascianelli, ML Fravolini, P Valigi",4,"IEEE Robotics and Automation Letters 5 (2), 1079-1086",Combining domain adaptation and spatial consistency for unseen fruits counting: a quasi-unsupervised approach,2020
"S Nuvoli, A Spanu, ML Fravolini, F Bianconi, S Cascianelli, G Madeddu, ...",3,"Molecular imaging and biology, 1-8",[123 I] Metaiodobenzylguanidine (MIBG) Cardiac Scintigraphy and Automated Classification Techniques in Parkinsonian Disorders,2019
"M Abdollahyan, S Cascianelli, E Bellocchio, G Costante, TA Ciarfuglia, ...",3,"2018 26th European Signal Processing Conference (EUSIPCO), 697-701",Visual localization in the presence of appearance changes using the partial order kernel,2018
"S Cascianelli, C Tranfaglia, ML Fravolini, F Bianconi, M Minestrini, ...",3,"Hellenic journal of nuclear medicine 20, 165-165",Right putamen and age are the most discriminant features to diagnose Parkinson's disease by using 123I-FP-CIT brain SPET data by using an artificial neural network classifier …,2017
"B Palumbo, R Capozzi, F Bianconi, ML Fravolini, S Cascianelli, ...",2,"Anticancer research 40 (6), 3355-3360",Classification model to estimate MIB-1 (Ki 67) proliferation index in NSCLC patients evaluated with 18F-FDG-PET/CT,2020
"S Cascianelli, D Astolfi, G Costante, F Castellani, ML Fravolini",2,"2019 International Conference on Control, Automation and Diagnosis (ICCAD), 1-6",Experimental Prediction Intervals for Monitoring Wind Turbines: an Ensemble Approach,2019
"S Cascianelli, G Costante, A Devo, TA Ciarfuglia, P Valigi, ML Fravolini",2,"IEEE Transactions on Multimedia 22 (1), 271-283",The role of the input in natural language video description,2019
"D Astolfi, F Castellani, ML Fravolini, S Cascianelli, L Terzi",1,Preprints,Computing the real impact of wind turbine power curve upgrades: a scada-based multivariate linear method and a vortex generator test case,2018
"ML Fravolini, S Cascianelli, PG Fabietti",1,"Applied Artificial Intelligence 29 (6), 531-562",A Learning Strategy for the Autonomous Control of Type 1 Diabetes,2015
"S Nuvoli, B Palumbo, M Fravolini, B Piras, G Dachena, T Buresta, ...",1,"Journal of Nuclear Medicine 56 (supplement 3), 1582-1582",The classification tree (CIT) classifier applied to 123I-MIBG cardiac scintigraphy in differentiating parkinson's disease (PD) from parkinsonisms (P).,2015
"S Cascianelli, G Costante, F Crocetti, E Ricci, P Valigi, M Luca Fravolini",0,"Asian Journal of Control 23 (1), 57-71",Data‐based design of robust fault detection and isolation residuals via LASSO optimization and Bayesian filtering,2021
"R Bigazzi, F Landi, M Cornia, S Cascianelli, L Baraldi, R Cucchiara",0,arXiv preprint arXiv:2007.07268,Explore and Explain: Self-supervised Navigation and Recounting,2020
"I Cojocaru, S Cascianelli, L Baraldi, M Corsini, R Cucchiara",0,25th International Conference on Pattern Recognition,Watch Your Strokes: Improving Handwritten Text Recognition with Deformable Convolutions,2020
"S Cascianelli, F Crocetti, G Costante, P Valigi, ML Fravolini",0,"2019 International Conference on Control, Automation and Diagnosis (ICCAD), 1-6",Data-Based Design of Robust Fault Isolation Residuals Using LASSO optimization,2019
"D Astolfi, F Castellani, ML Fravolini, S Cascianelli, L Terzi",0,"Conference of the Italian Association for Wind Engineering, 63-72",A SCADA-Based Method for Estimating the Energy Improvement from Wind Turbine Retrofitting,2018
"S Cascianelli, ML Fravolini, F Di Maria, F Smeraldi",0,-,Hand-designed local image descriptors vs. Off-the-shelf CNN-based features for texture classification: An experimental comparison,2018
"B Palumbo, A Santonicola, S Cascianelli, S Nuvoli, M Fravolini, ...",0,-,"Role of an artificial neural network classifier, a classification tree (ClT), to diagnose Parkinson's disease in early phase by using 123I-FP-CIT brain SPECT data",2017
"B Palumbo, S Cascianelli, A Santonicola, M Minestrini, T Buresta, ...",0,-,I-123-FP-CIT brain SPECT: tracer uptake values of right putamen are the most discriminant to diagnose Parkinson's disease,2016
"B Palumbo, S Nuvoli, S Cascianelli, A Santonicola, M Fravolini, ...",0,-,Comparison of the diagnostic performance of two methods of semi-quantitative analysis of 123I-FP-CIT brain SPECT images in mild Parkinson's disease,2016
"FM Luca, S Cascianelli, FP Giorgio",0,-,A Learning Strategy for the Autonomous Control of Type 1 Diabetes,2015
"B Palumbo, S Cascianelli, I Sabalich, A Santonicola, T Buresta, ...",0,-,Cut-off values to diagnose Parkinson's disease by means of 123I-FP-CIT brain SPECT semiquantitave data as evaluated by Classification Tree algorithm,2015
"S Nuvoli, B Palumbo, M Fravolini, B Piras, G Dachena, S Cascianelli, ...",0,-,123-I-MIBG cardiac scintigraphy quantitative analysis in Parkinson's disease (PD) and Parkinsonism (P) differential diagnosis: a classification tree (CIT) classifier additional …,2015
